rank,market_hash_name,base_name,wear,category,recommendation_label,opportunity_score,instant_exit_margin_pct,profit_margin_pct,risk_score,cs_liquidity_score,demand_score,uu_supply_score,cs_highest_bid_usd,uu_lowest_ask_usd,cs_vol24h,uu_listings,recommendation_reason
1,AK-47 | Neon Rider (Field-Tested),AK-47 | Neon Rider,ft,normal,strong_candidate,0.804342,0.097143,-0.264000,0.165881,0.662654,0.863137,0.592277,48.000000,43.750000,33,10,positive instant-exit margin (9.71%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
2,★ Sport Gloves | Nocts (Field-Tested),Sport Gloves | Nocts,ft,normal,strong_candidate,0.790875,0.315284,-0.423963,0.181628,0.740216,0.752441,0.416589,685.000000,520.800000,40,10,high instant-exit margin (31.53%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
3,★ Driver Gloves | Snow Leopard (Field-Tested),Driver Gloves | Snow Leopard,ft,normal,strong_candidate,0.776892,0.365380,-0.813398,0.193281,0.693603,0.752441,0.416589,363.000000,265.860000,40,10,high instant-exit margin (36.54%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
4,★ Sport Gloves | Amphibious (Field-Tested),Sport Gloves | Amphibious,ft,normal,strong_candidate,0.765480,0.473414,-0.306983,0.198656,0.672103,0.727633,0.416589,460.000000,312.200000,35,10,high instant-exit margin (47.34%); strong CSFloat liquidity; strong demand signal; controlled risk; recommended for priority review
5,★ Specialist Gloves | Fade (Field-Tested),Specialist Gloves | Fade,ft,normal,strong_candidate,0.759647,0.716501,-0.335105,0.198466,0.630557,0.723767,0.469476,310.000000,180.600000,27,10,high instant-exit margin (71.65%); strong demand signal; controlled risk; recommended for priority review
6,★ Specialist Gloves | Buckshot (Field-Tested),Specialist Gloves | Buckshot,ft,normal,watchlist,0.619473,0.062323,-0.087616,0.201431,0.605073,0.708551,0.486502,52.500000,49.420000,23,10,positive instant-exit margin (6.23%); strong demand signal; controlled risk; worth monitoring
7,★ Hand Wraps | Cobalt Skulls (Field-Tested),Hand Wraps | Cobalt Skulls,ft,normal,watchlist,0.588443,0.041188,0.071148,0.177494,0.647383,0.813036,0.553301,204.000000,195.930000,30,10,positive instant-exit margin (4.12%); strong demand signal; controlled risk; worth monitoring
8,★ Hand Wraps | Duct Tape (Field-Tested),Hand Wraps | Duct Tape,ft,normal,watchlist,0.582902,0.055993,0.091761,0.212106,0.618305,0.665558,0.416589,49.600000,46.970000,25,10,positive instant-exit margin (5.60%); strong demand signal; controlled risk; worth monitoring
9,★ Sport Gloves | Superconductor (Field-Tested),Sport Gloves | Superconductor,ft,normal,watchlist,0.572684,0.236984,-0.639939,0.289466,0.308863,0.308510,0.416589,2130.000000,1721.930000,3,10,high instant-exit margin (23.70%); weak CSFloat liquidity; weak demand signal; controlled risk; worth monitoring
10,★ Driver Gloves | Queen Jaguar (Field-Tested),Driver Gloves | Queen Jaguar,ft,normal,watchlist,0.568048,0.052733,0.121956,0.213727,0.611821,0.658077,0.416589,54.900000,52.150000,24,10,positive instant-exit margin (5.27%); strong demand signal; controlled risk; worth monitoring
11,★ Hand Wraps | Constrictor (Field-Tested),Hand Wraps | Constrictor,ft,normal,watchlist,0.549111,0.057224,0.096388,0.227113,0.515967,0.591549,0.469476,52.100000,49.280000,13,10,positive instant-exit margin (5.72%); controlled risk; worth monitoring
12,★ Moto Gloves | Transport (Field-Tested),Moto Gloves | Transport,ft,normal,watchlist,0.530788,0.058673,0.079082,0.236004,0.522711,0.501474,0.416589,41.500000,39.200000,10,10,positive instant-exit margin (5.87%); controlled risk; worth monitoring
13,★ Hydra Gloves | Case Hardened (Field-Tested),Hydra Gloves | Case Hardened,ft,normal,watchlist,0.527071,0.041025,-0.869791,0.213727,0.611821,0.658077,0.416589,64.200000,61.670000,24,10,positive instant-exit margin (4.10%); strong demand signal; controlled risk; worth monitoring
14,AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge,ft,normal,watchlist,0.520106,0.021651,-0.101845,0.170681,0.741695,0.730461,0.469476,36.400000,35.628600,28,10,positive instant-exit margin (2.17%); strong CSFloat liquidity; strong demand signal; controlled risk; worth monitoring
15,★ Moto Gloves | 3rd Commando Company (Field-Tested),Moto Gloves | 3rd Commando Company,ft,normal,watchlist,0.518766,0.079961,0.123598,0.278889,0.308863,0.352583,0.469476,44.300000,41.020000,3,10,positive instant-exit margin (8.00%); weak CSFloat liquidity; controlled risk; worth monitoring
